rec_id,SDK_Version,Start_LocationLatitude,Start_LocationLongitude,Start_LocationAltitude,Start_RadioBrand,Start_RadioCountry,Start_RadioNetworkType,Start_RadioNetworkGeneration,Start_RadioHRCellId,Start_RadioRNCId,Start_RadioeNodeBId,Start_RadioOperatorName,Start_RadioIsRoaming,DeviceManufacturer,DeviceName,OS,OSVersion,AverageValue,SIM_Country,SIM_Brand
110745.0,20181213163457.0,35.77065,139.71823,0.0,NTT docomo,Japan,LTE,4G,82.0,,189760.0,NTT DOCOMO,False,FUJITSU,F-01H,Android,6.0.1,35.0,Japan,
80126.0,20190802193258,35.963963,139.86792,0.0,NTT docomo,Japan,LTE,4G,64.0,,195999.0,NTT DOCOMO,False,FUJITSU,F-02G,Android,5.0.2,72.0,Japan,
87919.0,20190802193258.0,35.43722,139.33911,0.0,au,Japan,LTE,4G,0.0,,1001194.0,KDDI,False,SHARP,SHV40_u,Android,8.0.0,53.0,Japan,
106310.0,20181213163457,35.58305,139.65831,0.0,NTT docomo,Japan,LTE,4G,65.0,,178834.0,NTT DOCOMO,False,Sony,SO-04H,Android,7.0,43.0,Japan,
20841.0,20170310154560,35.968845,139.33737,64.0,NTT docomo,Japan,LTE,4G,2.0,,160839.0,NTT DOCOMO,False,Sony,SO-02J,Android,7.0,40.0,Japan,
41401.0,20190802193258,35.658276,139.7197,0.0,au,Japan,LTE,4G,12.0,,660366.0,KDDI,False,Sony,SOV35,Android,7.1.1,0.0,Japan,
165681.0,20180920140351,35.74515,139.7877,0.0,NTT docomo,Japan,LTE,4G,81.0,,178422.0,NTT DOCOMO,False,SHARP,SH-01H,Android,7.0,47.0,Japan,
40494.0,20170922173030.0,35.676,139.69226,0.0,SoftBank,Japan,LTE,4G,93.0,,57000.0,SoftBank,False,KYOCERA,404KC,Android,4.4.4,34.0,Japan,
194284.0,20181030095031,35.315926,139.32173,0.0,NTT docomo,Japan,LTE,4G,0.0,,189943.0,NTT DOCOMO,False,SHARP,SH-03K,Android,9,51.0,Japan,
148158.0,20181213163457,35.878216,139.7627,53.64446,NTT docomo,Japan,LTE,4G,0.0,,146879.0,NTT DOCOMO,False,Sony,SO-04J,Android,8.0.0,40.0,Japan,
112198.0,20180920140351.0,35.51025,139.47949,109.78628,SoftBank,Japan,LTE,4G,73.0,,665200.0,SoftBank,False,KYOCERA,404KC,Android,4.4.4,42.0,Japan,
11716.0,20181213163457,35.37129,139.53197,82.83325,NTT docomo,Japan,LTE,4G,81.0,,174485.0,NTT DOCOMO,False,SHARP,SH-03J,Android,9,0.0,Japan,
196093.0,20190802193258,35.710796,139.49391,170.09784,NTT docomo,Japan,LTE,4G,5.0,,139328.0,NTT DOCOMO,False,SHARP,SH-03K,Android,9,22.0,Japan,
165880.0,20181213163457,35.62228,139.72615,48.217896,NTT docomo,Japan,LTE,4G,0.0,,160583.0,NTT DOCOMO,False,samsung,SC-02K,Android,9,0.0,Japan,
20932.0,20181213163457,35.60538,139.68817,0.0,SoftBank,Japan,LTE,4G,92.0,,35828.0,SoftBank,False,KYOCERA,503KC,Android,6.0.1,9.0,Japan,
193779.0,20190802193258,35.662334,139.87663,35.5,SoftBank,Japan,LTE,4G,77.0,,655904.0,SoftBank,False,Sony,701SO,Android,9,0.0,Japan,
194473.0,20180105115808,35.87237,139.66068,0.0,SoftBank,Japan,LTE,4G,10.0,,98951.0,SoftBank,False,SHARP,304SH,Android,4.4.2,36.0,Japan,
78901.0,20190802193258,35.82886,139.70132,45.399998,SoftBank,Japan,LTE,4G,10.0,,98918.0,SoftBank,False,Sony,701SO,Android,9,0.0,Japan,
